Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
140.91,46.93,-2.4476e-05,0.14,1.2,0.071429
140.95,46.93,-8.1107e-06,0.14,1.2,0.10714
141.02,46.93,0.00022718,0.14,1.2,0.14286
141.06,46.93,0.00047879,0.14,1.2,0.17857
141.13,46.93,0.00047909,0.14,1.2,0.21429
141.17,46.93,0.00073182,0.14,1.2,0.25
141.44,46.93,0.001488,0.14,1.2,0.28571
141.49,46.93,0.0017409,0.14,1.2,0.32143
141.53,46.93,0.0017771,0.14,1.2,0.35714
141.59,46.93,0.001993,0.14,1.2,0.39286
141.64,46.93,0.0022195,0.14,1.2,0.42857
141.69,46.93,0.0022464,0.14,1.2,0.46429
141.75,46.93,0.0024973,0.14,1.2,0.5
142.02,46.92,0.0032577,0.14,1.275,0
142.06,46.92,0.0035106,0.14,1.275,0.035714
142.13,46.92,0.0033812,0.14,1.275,0.071429
142.17,46.92,-2.4863e-05,0.14,1.275,0.10714
142.22,46.92,0.00018565,0.14,1.275,0.14286
142.28,46.92,0.00022733,0.14,1.275,0.17857
142.33,46.92,0.00047805,0.14,1.275,0.21429
142.59,46.92,0.0012348,0.14,1.275,0.25
142.66,46.92,0.0014858,0.14,1.275,0.28571
142.7,46.92,0.0015263,0.14,1.275,0.32143
142.75,46.92,0.0017391,0.14,1.275,0.35714
142.81,46.92,0.0019722,0.14,1.275,0.39286
142.86,46.92,0.0019909,0.14,1.275,0.42857
142.91,46.92,0.0022435,0.14,1.275,0.46429
143.19,46.92,0.0030001,0.14,1.275,0.5
143.52,46.91,0.0035054,0.14,1.35,0
143.58,46.91,0.0018804,0.14,1.35,0.035714
143.63,46.91,-2.4863e-05,0.14,1.35,0.071429
143.69,46.91,0.00022655,0.14,1.35,0.10714
143.74,46.91,0.00023698,0.14,1.35,0.14286
143.78,46.91,0.00047794,0.14,1.35,0.17857
143.84,46.91,0.00073004,0.14,1.35,0.21429
143.89,46.91,0.0007305,0.14,1.35,0.25
143.94,46.91,0.00098133,0.14,1.35,0.28571
144.22,46.91,0.0017376,0.14,1.35,0.32143
144.27,46.91,0.001988,0.14,1.35,0.35714
144.31,46.91,0.0019892,0.14,1.35,0.39286
144.38,46.91,0.0022402,0.14,1.35,0.42857
144.42,46.91,0.0024903,0.14,1.35,0.46429
144.47,46.91,0.0024916,0.14,1.35,0.5
144.69,46.9,0.0032488,0.14,1.425,0
144.74,46.9,0.0032978,0.14,1.425,0.035714
144.8,46.9,0.0035016,0.14,1.425,0.071429
144.84,46.9,-2.1114e-05,0.14,1.425,0.10714
144.89,46.9,-2.4917e-05,0.14,1.425,0.14286
144.95,46.9,0.00022661,0.14,1.425,0.17857
145.22,46.9,0.00097934,0.14,1.425,0.21429
145.27,46.9,0.001231,0.14,1.425,0.25
145.31,46.9,0.0012523,0.14,1.425,0.28571
145.38,46.9,0.0014821,0.14,1.425,0.32143
145.42,46.9,0.0017081,0.14,1.425,0.35714
145.49,46.9,0.0017339,0.14,1.425,0.39286
145.53,46.9,0.0019846,0.14,1.425,0.42857
145.8,46.9,0.0027394,0.14,1.425,0.46429
145.84,46.9,0.0029902,0.14,1.425,0.5
146.06,46.89,0.0034963,0.14,1.5,0
146.11,46.89,0.0012263,0.14,1.5,0.035714
146.16,46.89,-2.5227e-05,0.14,1.5,0.071429
146.22,46.89,0.00022576,0.14,1.5,0.10714
146.27,46.89,0.00022574,0.14,1.5,0.14286
146.33,46.89,0.00047654,0.14,1.5,0.17857
146.38,46.89,0.00072373,0.14,1.5,0.21429
146.42,46.89,0.00072811,0.14,1.5,0.25
146.49,46.89,0.00097847,0.14,1.5,0.28571
146.75,46.89,0.001732,0.14,1.5,0.32143
146.8,46.89,0.0019821,0.14,1.5,0.35714
146.84,46.89,0.0020088,0.14,1.5,0.39286
146.91,46.89,0.0022347,0.14,1.5,0.42857
146.95,46.89,0.0024569,0.14,1.5,0.46429
147.02,46.89,0.0024846,0.14,1.5,0.5
267.86,45.61,0.0025556,0.135,0,0
267.91,45.61,0.002555,0.135,0,0.035714
267.97,45.61,-1.9172e-05,0.135,0,0.071429
268.02,45.61,3.7745e-05,0.135,0,0.10714
268.08,45.61,0.00016038,0.135,0,0.14286
268.13,45.61,0.00033994,0.135,0,0.17857
268.17,45.61,0.00034033,0.135,0,0.21429
268.24,45.61,0.0005219,0.135,0,0.25
268.28,45.61,0.0007024,0.135,0,0.28571
268.56,45.61,0.0012507,0.135,0,0.32143
268.63,45.61,0.0014338,0.135,0,0.35714
268.67,45.61,0.0014344,0.135,0,0.39286
268.74,45.61,0.0016179,0.135,0,0.42857
268.78,45.61,0.001801,0.135,0,0.46429
268.83,45.61,0.0018008,0.135,0,0.5
269.05,45.59,0.0023551,0.135,0.075,0
269.09,45.59,0.0023686,0.135,0.075,0.035714
269.14,45.59,0.0025387,0.135,0.075,0.071429
269.2,45.59,-1.6717e-05,0.135,0.075,0.10714
269.25,45.59,-2.038e-05,0.135,0.075,0.14286
269.3,45.59,0.00015939,0.135,0.075,0.17857
269.56,45.59,0.0006997,0.135,0.075,0.21429
269.63,45.59,0.00088037,0.135,0.075,0.25
269.67,45.59,0.00088121,0.135,0.075,0.28571
269.72,45.59,0.0010612,0.135,0.075,0.32143
269.78,45.59,0.0012437,0.135,0.075,0.35714
269.83,45.59,0.0012438,0.135,0.075,0.39286
269.89,45.59,0.0014254,0.135,0.075,0.42857
270.16,45.59,0.0019731,0.135,0.075,0.46429
270.2,45.59,0.0021566,0.135,0.075,0.5
270.41,45.59,0.0025237,0.135,0.15,0
270.47,45.59,0.00090912,0.135,0.15,0.035714
270.52,45.59,-1.9284e-05,0.135,0.15,0.071429
270.58,45.59,0.00015813,0.135,0.15,0.10714
270.63,45.59,0.00015816,0.135,0.15,0.14286
270.67,45.59,0.00033582,0.135,0.15,0.17857
270.74,45.59,0.00051457,0.135,0.15,0.21429
270.78,45.59,0.00051564,0.135,0.15,0.25
270.84,45.59,0.00069486,0.135,0.15,0.28571
271.09,45.59,0.0012363,0.135,0.15,0.32143
271.16,45.59,0.0014165,0.135,0.15,0.35714
271.2,45.59,0.0014323,0.135,0.15,0.39286
271.27,45.59,0.0015991,0.135,0.15,0.42857
271.31,45.59,0.00175,0.135,0.15,0.46429
271.36,45.59,0.0017801,0.135,0.15,0.5
271.64,45.58,0.0025046,0.135,0.225,0
271.69,45.58,0.0025094,0.135,0.225,0.035714
271.75,45.58,-1.8354e-05,0.135,0.225,0.071429
271.8,45.58,8.6348e-05,0.135,0.225,0.10714
271.86,45.58,0.00015715,0.135,0.225,0.14286
271.91,45.58,0.00033469,0.135,0.225,0.17857
271.95,45.58,0.00035092,0.135,0.225,0.21429
272.02,45.58,0.00051243,0.135,0.225,0.25
272.06,45.58,0.00066344,0.135,0.225,0.28571
272.34,45.58,0.0012296,0.135,0.225,0.32143
272.41,45.58,0.0014087,0.135,0.225,0.35714
272.45,45.58,0.0014087,0.135,0.225,0.39286
272.52,45.58,0.0015899,0.135,0.225,0.42857
272.56,45.58,0.0017682,0.135,0.225,0.46429
272.61,45.58,0.0017699,0.135,0.225,0.5
272.83,45.57,0.0023144,0.135,0.3,0
272.88,45.57,0.0023764,0.135,0.3,0.035714
272.92,45.57,0.0024951,0.135,0.3,0.071429
272.99,45.57,-1.0929e-05,0.135,0.3,0.10714
273.03,45.57,-1.9913e-05,0.135,0.3,0.14286
273.09,45.57,0.00015626,0.135,0.3,0.17857
273.36,45.57,0.00068708,0.135,0.3,0.21429
273.41,45.57,0.00086561,0.135,0.3,0.25
273.45,45.57,0.00086571,0.135,0.3,0.28571
273.52,45.57,0.0010439,0.135,0.3,0.32143
273.56,45.57,0.0012222,0.135,0.3,0.35714
