	Temp	25.000000	
RESSIST	TEMP	REAL TEMP	CURRENT	VOLTAGE
539.863617E-6	25.000000E+0	25.000000	2.060000E-3	+1.11211905E-06
529.298111E-6	25.000000E+0	25.000000	2.070000E-3	+1.09564709E-06
509.554630E-6	25.000000E+0	25.000000	2.080000E-3	+1.05987363E-06
530.228665E-6	25.000000E+0	25.000000	2.090000E-3	+1.10817791E-06
525.201452E-6	25.000000E+0	25.000000	2.100000E-3	+1.10292305E-06
528.890588E-6	25.000000E+0	25.000000	2.110000E-3	+1.11595914E-06
528.835401E-6	25.000000E+0	25.000000	2.120000E-3	+1.12113105E-06
493.758817E-6	25.000000E+0	25.000000	2.130000E-3	+1.05170628E-06
518.698598E-6	25.000000E+0	25.000000	2.140000E-3	+1.11001500E-06
522.490353E-6	25.000000E+0	25.000000	2.150000E-3	+1.12335426E-06
517.498259E-6	25.000000E+0	25.000000	2.160000E-3	+1.11779624E-06
507.941829E-6	25.000000E+0	25.000000	2.170000E-3	+1.10223377E-06
511.591679E-6	25.000000E+0	25.000000	2.180000E-3	+1.11526986E-06
505.887146E-6	25.000000E+0	25.000000	2.190000E-3	+1.10789285E-06
492.379741E-6	25.000000E+0	25.000000	2.200000E-3	+1.08323543E-06
509.996964E-6	25.000000E+0	25.000000	2.210000E-3	+1.12709329E-06
503.589351E-6	25.000000E+0	25.000000	2.220000E-3	+1.11796836E-06
490.953704E-6	25.000000E+0	25.000000	2.230000E-3	+1.09482676E-06
491.333433E-6	25.000000E+0	25.000000	2.240000E-3	+1.10058689E-06
493.596151E-6	25.000000E+0	25.000000	2.250000E-3	+1.11059134E-06
491.903960E-6	25.000000E+0	25.000000	2.260000E-3	+1.11170295E-06
492.942251E-6	25.000000E+0	25.000000	2.270000E-3	+1.11897891E-06
486.613921E-6	25.000000E+0	25.000000	2.280000E-3	+1.10947974E-06
480.340856E-6	25.000000E+0	25.000000	2.290000E-3	+1.09998056E-06
494.860596E-6	25.000000E+0	25.000000	2.300000E-3	+1.13817937E-06
466.251545E-6	25.000000E+0	25.000000	2.310000E-3	+1.07704107E-06
477.639341E-6	25.000000E+0	25.000000	2.320000E-3	+1.10812327E-06
474.548472E-6	25.000000E+0	25.000000	2.330000E-3	+1.10569794E-06
462.674094E-6	25.000000E+0	25.000000	2.340000E-3	+1.08265738E-06
467.628617E-6	25.000000E+0	25.000000	2.350000E-3	+1.09892725E-06
462.093085E-6	25.000000E+0	25.000000	2.360000E-3	+1.09053968E-06
460.527080E-6	25.000000E+0	25.000000	2.370000E-3	+1.09144918E-06
468.570218E-6	25.000000E+0	25.000000	2.380000E-3	+1.11519712E-06
466.821088E-6	25.000000E+0	25.000000	2.390000E-3	+1.11570240E-06
465.760233E-6	25.000000E+0	25.000000	2.400000E-3	+1.11782456E-06
461.227859E-6	25.000000E+0	25.000000	2.410000E-3	+1.11155914E-06
453.698099E-6	25.000000E+0	25.000000	2.420000E-3	+1.09794940E-06
444.802914E-6	25.000000E+0	25.000000	2.430000E-3	+1.08087108E-06
462.445488E-6	25.000000E+0	25.000000	2.440000E-3	+1.12836699E-06
437.542135E-6	25.000000E+0	25.000000	2.450000E-3	+1.07197823E-06
449.894793E-6	25.000000E+0	25.000000	2.460000E-3	+1.10674119E-06
