	Temp	25.000000	
Time	TEMP	REAL TEMP	CURRENT	VOLTAGE
105.595039E+0	25.000000E+0	25.000000	2.480000E-3	-1.07868796E-07
106.020064E+0	25.000000E+0	25.000000	2.490000E-3	-9.24073934E-08
106.446088E+0	25.000000E+0	25.000000	2.500000E-3	-1.19692221E-07
106.872113E+0	25.000000E+0	25.000000	2.510000E-3	-9.85717434E-08
107.299137E+0	25.000000E+0	25.000000	2.520000E-3	-1.02310775E-07
107.725162E+0	25.000000E+0	25.000000	2.530000E-3	-9.20031737E-08
108.151186E+0	25.000000E+0	25.000000	2.540000E-3	-1.24452974E-07
108.575210E+0	25.000000E+0	25.000000	2.550000E-3	-9.65618194E-08
108.999234E+0	25.000000E+0	25.000000	2.560000E-3	-8.64563285E-08
109.425259E+0	25.000000E+0	25.000000	2.570000E-3	-7.91803751E-08
109.853283E+0	25.000000E+0	25.000000	2.580000E-3	-8.36267910E-08
110.278307E+0	25.000000E+0	25.000000	2.590000E-3	-8.07972536E-08
110.704332E+0	25.000000E+0	25.000000	2.600000E-3	-4.58322552E-08
111.130356E+0	25.000000E+0	25.000000	2.610000E-3	-9.76734234E-08
111.557381E+0	25.000000E+0	25.000000	2.620000E-3	-7.71592769E-08
111.983405E+0	25.000000E+0	25.000000	2.630000E-3	-6.82664449E-08
112.408430E+0	25.000000E+0	25.000000	2.640000E-3	-2.95129871E-08
112.833454E+0	25.000000E+0	25.000000	2.650000E-3	-6.87222742E-08
113.257478E+0	25.000000E+0	25.000000	2.660000E-3	-1.52496756E-07
113.684502E+0	25.000000E+0	25.000000	2.670000E-3	-6.62969575E-08
114.111526E+0	25.000000E+0	25.000000	2.680000E-3	-3.89110894E-08
114.537551E+0	25.000000E+0	25.000000	2.690000E-3	-4.67933688E-08
114.964575E+0	25.000000E+0	25.000000	2.700000E-3	-7.74129925E-08
115.390600E+0	25.000000E+0	25.000000	2.710000E-3	-4.17406256E-08
115.815624E+0	25.000000E+0	25.000000	2.720000E-3	-6.21537081E-08
116.241649E+0	25.000000E+0	25.000000	2.730000E-3	-5.91220622E-08
116.669673E+0	25.000000E+0	25.000000	2.740000E-3	-3.43498182E-08
117.095697E+0	25.000000E+0	25.000000	2.750000E-3	-8.17660540E-09
