Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,1.0241e-06,-0.0035906,0,0.128,0
53.453,35.74,1.7319e-06,-0.0034085,0.3,0.128,0
53.734,35.74,0.0039813,2.9977,0.3,0.128,3
54.625,35.73,4.9184e-07,-0.003622,0.7,0.128,0
54.875,35.73,3.6017e-07,-0.0036211,0.7,0.128,0
55.141,35.73,-1.3923e-07,-0.0036201,0.7,0.128,0
55.422,35.73,0.00022583,0.2109,0.7,0.128,0.21429
55.703,35.73,-3.15e-07,-0.0035969,0.7,0.128,0
55.984,35.73,0.00052884,0.42549,0.7,0.128,0.42857
56.266,35.73,-3.5968e-08,-0.0035769,0.7,0.128,0
56.547,35.73,0.00085973,0.64001,0.7,0.128,0.64286
56.828,35.73,1.9896e-07,-0.0035432,0.7,0.128,0
57.109,35.73,0.0011994,0.85434,0.7,0.128,0.85714
57.391,35.73,8.3238e-07,-0.0035159,0.7,0.128,0
57.672,35.73,0.0015554,1.0687,0.7,0.128,1.0714
57.953,35.73,5.9128e-08,-0.0035098,0.7,0.128,0
58.234,35.73,0.0019221,1.283,0.7,0.128,1.2857
58.516,35.73,-5.8861e-07,-0.0034848,0.7,0.128,0
58.797,35.73,0.0023113,1.4972,0.7,0.128,1.5
59.078,35.73,-2.8215e-07,-0.0034788,0.7,0.128,0
59.359,35.73,0.0027041,1.7116,0.7,0.128,1.7143
59.641,35.73,-4.809e-07,-0.0034604,0.7,0.128,0
59.922,35.73,0.0031209,1.9258,0.7,0.128,1.9286
60.203,35.73,1.2508e-06,-0.0034448,0.7,0.128,0
60.484,35.73,0.0035445,2.1402,0.7,0.128,2.1429
60.766,35.73,1.3115e-07,-0.0034518,0.7,0.128,0
61.063,35.73,0.003969,2.3546,0.7,0.128,2.3571
61.359,35.73,7.5332e-07,-0.0034314,0.7,0.128,0
61.641,35.73,0.0044183,2.5689,0.7,0.128,2.5714
61.938,35.73,-2.8327e-07,-0.0034764,0.7,0.128,0
62.234,35.73,0.0048755,2.7833,0.7,0.128,2.7857
62.516,35.73,8.976e-07,-0.0034025,0.7,0.128,0
62.797,35.73,0.0053245,2.9975,0.7,0.128,3
63.688,35.74,1.6894e-07,-0.0036222,1,0.128,0
63.938,35.74,-7.9861e-07,-0.0036156,1,0.128,0
64.203,35.74,-1.3738e-06,-0.0036167,1,0.128,0
64.484,35.74,0.00027734,0.21089,1,0.128,0.21429
64.766,35.74,-1.003e-06,-0.0035961,1,0.128,0
65.031,35.74,0.00062782,0.42549,1,0.128,0.42857
65.328,35.74,-8.2662e-08,-0.0035702,1,0.128,0
65.609,35.74,0.00099352,0.64001,1,0.128,0.64286
65.891,35.74,-4.9704e-09,-0.0035666,1,0.128,0
66.172,35.74,0.0013814,0.85429,1,0.128,0.85714
66.453,35.74,4.3649e-07,-0.0035285,1,0.128,0
66.734,35.74,0.0017801,1.0687,1,0.128,1.0714
67.016,35.74,3.4398e-07,-0.0034989,1,0.128,0
67.297,35.74,0.0021831,1.283,1,0.128,1.2857
67.578,35.74,6.3637e-07,-0.0034927,1,0.128,0
67.859,35.74,0.0026011,1.4973,1,0.128,1.5
68.141,35.74,4.05e-07,-0.0034812,1,0.128,0
68.422,35.74,0.003038,1.7115,1,0.128,1.7143
68.703,35.74,-1.4773e-06,-0.0034837,1,0.128,0
68.984,35.74,0.0034781,1.9258,1,0.128,1.9286
69.266,35.74,-1.0848e-07,-0.0034563,1,0.128,0
69.547,35.74,0.0039289,2.1402,1,0.128,2.1429
69.828,35.74,-7.3881e-07,-0.0034647,1,0.128,0
70.109,35.74,0.0043944,2.3545,1,0.128,2.3571
70.391,35.74,-2.3893e-07,-0.0034212,1,0.128,0
70.672,35.74,0.0048725,2.5689,1,0.128,2.5714
70.953,35.74,-1.168e-06,-0.0034036,1,0.128,0
71.234,35.74,0.0053505,2.7831,1,0.128,2.7857
71.516,35.74,-7.2869e-07,-0.0034077,1,0.128,0
71.797,35.74,0.0058282,2.9974,1,0.128,3
72.703,35.75,-1.2826e-06,-0.0036148,1.5,0.128,0
72.953,35.75,-1.234e-06,-0.0036125,1.5,0.128,0
73.203,35.75,-2.9417e-06,-0.0036193,1.5,0.128,0
73.484,35.75,0.00033348,0.2109,1.5,0.128,0.21429
73.766,35.75,-7.4351e-07,-0.0035982,1.5,0.128,0
74.047,35.75,0.00073174,0.42546,1.5,0.128,0.42857
74.328,35.75,-6.1937e-07,-0.0035623,1.5,0.128,0
74.609,35.75,0.0011471,0.63999,1.5,0.128,0.64286
74.891,35.75,-7.219e-07,-0.0035436,1.5,0.128,0
75.172,35.75,0.0015772,0.8543,1.5,0.128,0.85714
75.453,35.75,-1.1511e-06,-0.0035157,1.5,0.128,0
75.719,35.75,0.0020124,1.0686,1.5,0.128,1.0714
76.016,35.75,-5.3067e-07,-0.0035167,1.5,0.128,0
