Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,3.1399e-06,0.0037811,0,0.13,0
44.797,37.48,2.3862e-06,-3.8955,0.6,0.13,3.9
45.75,37.5,8.4516e-06,0.0038126,1,0.13,0
46.016,37.5,7.9299e-06,0.0038331,1,0.13,0
46.266,37.5,8.4688e-06,0.0038103,1,0.13,0
46.547,37.5,7.3606e-06,-0.27494,1,0.13,0.27857
46.828,37.5,7.067e-06,0.0038114,1,0.13,0
47.11,37.5,6.7446e-06,-0.55376,1,0.13,0.55714
47.391,37.5,6.9455e-06,0.0037798,1,0.13,0
47.672,37.5,6.1593e-06,-0.83233,1,0.13,0.83571
47.953,37.5,6.723e-06,0.0037325,1,0.13,0
48.235,37.5,6.034e-06,-1.1109,1,0.13,1.1143
48.516,37.5,6.0077e-06,0.00373,1,0.13,0
48.797,37.5,5.8024e-06,-1.3891,1,0.13,1.3929
49.078,37.5,5.9545e-06,0.0037286,1,0.13,0
49.36,37.5,5.5743e-06,-1.6675,1,0.13,1.6714
49.641,37.5,5.8275e-06,0.0037049,1,0.13,0
49.922,37.5,5.4475e-06,-1.9461,1,0.13,1.95
50.203,37.5,5.122e-06,0.0036914,1,0.13,0
50.485,37.5,4.6393e-06,-2.2246,1,0.13,2.2286
50.766,37.5,5.6301e-06,0.003664,1,0.13,0
51.047,37.5,5.3194e-06,-2.5031,1,0.13,2.5071
51.328,37.5,6.0565e-06,0.0036434,1,0.13,0
51.61,37.5,5.0859e-06,-2.7817,1,0.13,2.7857
51.891,37.5,5.8929e-06,0.0036466,1,0.13,0
52.172,37.5,6.5744e-06,-3.0602,1,0.13,3.0643
52.453,37.5,6.3928e-06,0.0036301,1,0.13,0
52.735,37.5,5.1129e-06,-3.3387,1,0.13,3.3429
53.016,37.5,7.018e-06,0.0036017,1,0.13,0
53.297,37.5,3.7801e-06,-3.617,1,0.13,3.6214
53.578,37.5,7.298e-06,0.0035842,1,0.13,0
53.86,37.5,2.7114e-06,-3.8955,1,0.13,3.9
54.813,37.5,8.4148e-06,0.0038141,2,0.13,0
55.078,37.5,8.1991e-06,0.0038352,2,0.13,0
55.328,37.5,7.9208e-06,0.0038245,2,0.13,0
55.61,37.5,7.9792e-06,-0.27494,2,0.13,0.27857
55.891,37.5,7.8523e-06,0.0038052,2,0.13,0
56.172,37.5,6.7861e-06,-0.55376,2,0.13,0.55714
56.453,37.5,6.6902e-06,0.0037833,2,0.13,0
56.735,37.5,6.8868e-06,-0.8323,2,0.13,0.83571
57.016,37.5,6.4797e-06,0.0037595,2,0.13,0
57.297,37.5,6.1264e-06,-1.1108,2,0.13,1.1143
57.578,37.5,6.2685e-06,0.0037435,2,0.13,0
57.86,37.5,5.9506e-06,-1.3891,2,0.13,1.3929
58.141,37.5,6.4161e-06,0.0037143,2,0.13,0
58.422,37.5,5.6658e-06,-1.6675,2,0.13,1.6714
58.703,37.5,5.9117e-06,0.0036988,2,0.13,0
59,37.5,5.345e-06,-1.9461,2,0.13,1.95
59.297,37.5,5.574e-06,0.0036826,2,0.13,0
59.578,37.5,5.4128e-06,-2.2246,2,0.13,2.2286
59.86,37.5,6.4109e-06,0.0036507,2,0.13,0
60.141,37.5,5.4724e-06,-2.5031,2,0.13,2.5071
60.422,37.5,5.9563e-06,0.0036638,2,0.13,0
60.703,37.5,6.1624e-06,-2.7816,2,0.13,2.7857
60.985,37.5,5.8953e-06,0.0035766,2,0.13,0
61.266,37.5,5.6048e-06,-3.0602,2,0.13,3.0643
61.547,37.5,6.4496e-06,0.0036022,2,0.13,0
61.828,37.5,5.0852e-06,-3.3386,2,0.13,3.3429
62.11,37.5,6.9434e-06,0.0035788,2,0.13,0
62.391,37.5,4.1233e-06,-3.6169,2,0.13,3.6214
62.672,37.5,7.8405e-06,0.0035658,2,0.13,0
62.953,37.5,2.2831e-06,-3.8953,2,0.13,3.9
63.907,37.5,8.5749e-06,0.0038049,3,0.13,0
64.172,37.5,8.5044e-06,0.0038164,3,0.13,0
64.422,37.5,8.7467e-06,0.0038193,3,0.13,0
64.703,37.5,7.6045e-06,-0.27493,3,0.13,0.27857
64.985,37.5,7.9281e-06,0.0037835,3,0.13,0
65.266,37.5,8.4641e-06,-0.55378,3,0.13,0.55714
65.547,37.5,7.9159e-06,0.0037566,3,0.13,0
65.828,37.5,6.4899e-06,-0.83233,3,0.13,0.83571
66.11,37.5,7.5831e-06,0.0037346,3,0.13,0
66.391,37.5,6.6524e-06,-1.1108,3,0.13,1.1143
66.672,37.5,6.7814e-06,0.0037345,3,0.13,0
66.953,37.5,6.1647e-06,-1.3891,3,0.13,1.3929
67.25,37.5,6.0774e-06,0.0037031,3,0.13,0
67.532,37.5,6.2969e-06,-1.6675,3,0.13,1.6714
67.813,37.5,5.4398e-06,0.0036894,3,0.13,0
68.094,37.5,5.2652e-06,-1.9461,3,0.13,1.95
68.391,37.5,5.712e-06,0.003692,3,0.13,0
68.672,37.5,5.3398e-06,-2.2246,3,0.13,2.2286
68.953,37.5,5.6244e-06,0.0036286,3,0.13,0
69.235,37.5,5.785e-06,-2.503,3,0.13,2.5071
69.516,37.5,5.7057e-06,0.0036108,3,0.13,0
69.797,37.5,6.6981e-06,-2.7815,3,0.13,2.7857
70.078,37.5,6.5186e-06,0.0036209,3,0.13,0
70.36,37.5,6.6911e-06,-3.0601,3,0.13,3.0643
70.641,37.5,6.1976e-06,0.0035997,3,0.13,0
70.922,37.5,5.792e-06,-3.3385,3,0.13,3.3429
71.203,37.5,7.4582e-06,0.0035353,3,0.13,0
71.485,37.5,3.7379e-06,-3.6168,3,0.13,3.6214
71.766,37.5,7.52e-06,0.0035766,3,0.13,0
72.047,37.5,2.8775e-06,-3.8953,3,0.13,3.9
75.735,37.51,6.8365e-06,0.0038068,4,0.13,0
75.985,37.51,6.1603e-06,0.0037941,4,0.13,0
76.235,37.51,6.5653e-06,0.0038021,4,0.13,0
76.516,37.51,6.0582e-06,-0.27499,4,0.13,0.27857
76.797,37.51,5.8455e-06,0.0037705,4,0.13,0
77.078,37.51,5.774e-06,-0.5538,4,0.13,0.55714
77.36,37.51,5.6139e-06,0.0037603,4,0.13,0
77.641,37.51,5.1912e-06,-0.83232,4,0.13,0.83571
77.922,37.51,5.8676e-06,0.0037156,4,0.13,0
78.203,37.51,5.035e-06,-1.1108,4,0.13,1.1143
78.485,37.51,5.2462e-06,0.0036934,4,0.13,0
78.766,37.51,5.3274e-06,-1.3891,4,0.13,1.3929
79.063,37.51,5.3609e-06,0.0036947,4,0.13,0
79.344,37.51,4.728e-06,-1.6676,4,0.13,1.6714
79.641,37.51,5.2544e-06,0.0036849,4,0.13,0
79.922,37.51,4.9387e-06,-1.9461,4,0.13,1.95
80.203,37.51,6.2909e-06,0.0036628,4,0.13,0
80.485,37.51,4.3267e-06,-2.2246,4,0.13,2.2286
80.766,37.51,5.3304e-06,0.0036524,4,0.13,0
81.047,37.51,5.3485e-06,-2.503,4,0.13,2.5071
81.328,37.51,5.9652e-06,0.0036215,4,0.13,0
81.61,37.51,4.6837e-06,-2.7816,4,0.13,2.7857
81.891,37.51,5.9446e-06,0.0036241,4,0.13,0
82.172,37.51,5.8186e-06,-3.0601,4,0.13,3.0643
82.453,37.51,6.0084e-06,0.0035482,4,0.13,0
